duration loss = 0.362 | prior loss = 1.286 | diffusion loss =0.116 | Total loss = 1.7640000000000002
duration loss = 0.362 | prior loss = 1.286 | diffusion loss =0.116 | Total loss = 1.7640000000000002
duration loss = 0.362 | prior loss = 1.286 | diffusion loss =0.112 | Total loss = 1.7600000000000002
duration loss = 0.362 | prior loss = 1.285 | diffusion loss =0.114 | Total loss = 1.761
duration loss = 0.361 | prior loss = 1.285 | diffusion loss =0.115 | Total loss = 1.761
duration loss = 0.361 | prior loss = 1.284 | diffusion loss =0.112 | Total loss = 1.7570000000000001
duration loss = 0.361 | prior loss = 1.284 | diffusion loss =0.116 | Total loss = 1.7610000000000001
duration loss = 0.36 | prior loss = 1.284 | diffusion loss =0.114 | Total loss = 1.7580000000000002
duration loss = 0.36 | prior loss = 1.284 | diffusion loss =0.113 | Total loss = 1.7570000000000001
duration loss = 0.36 | prior loss = 1.284 | diffusion loss =0.112 | Total loss = 1.7560000000000002
duration loss = 0.36 | prior loss = 1.283 | diffusion loss =0.112 | Total loss = 1.755
duration loss = 0.359 | prior loss = 1.282 | diffusion loss =0.113 | Total loss = 1.754
duration loss = 0.359 | prior loss = 1.283 | diffusion loss =0.111 | Total loss = 1.753
duration loss = 0.359 | prior loss = 1.282 | diffusion loss =0.113 | Total loss = 1.754
duration loss = 0.358 | prior loss = 1.282 | diffusion loss =0.115 | Total loss = 1.7550000000000001
duration loss = 0.358 | prior loss = 1.281 | diffusion loss =0.113 | Total loss = 1.7519999999999998
duration loss = 0.358 | prior loss = 1.281 | diffusion loss =0.112 | Total loss = 1.751
duration loss = 0.357 | prior loss = 1.281 | diffusion loss =0.115 | Total loss = 1.753
duration loss = 0.357 | prior loss = 1.281 | diffusion loss =0.115 | Total loss = 1.753
duration loss = 0.357 | prior loss = 1.281 | diffusion loss =0.111 | Total loss = 1.7489999999999999
duration loss = 0.357 | prior loss = 1.28 | diffusion loss =0.111 | Total loss = 1.748
duration loss = 0.356 | prior loss = 1.28 | diffusion loss =0.11 | Total loss = 1.7460000000000002
duration loss = 0.356 | prior loss = 1.28 | diffusion loss =0.11 | Total loss = 1.7460000000000002
duration loss = 0.356 | prior loss = 1.28 | diffusion loss =0.111 | Total loss = 1.747
duration loss = 0.355 | prior loss = 1.279 | diffusion loss =0.113 | Total loss = 1.7469999999999999
duration loss = 0.356 | prior loss = 1.279 | diffusion loss =0.112 | Total loss = 1.7469999999999999
duration loss = 0.354 | prior loss = 1.278 | diffusion loss =0.113 | Total loss = 1.745
duration loss = 0.355 | prior loss = 1.278 | diffusion loss =0.111 | Total loss = 1.744
duration loss = 0.354 | prior loss = 1.279 | diffusion loss =0.112 | Total loss = 1.745
duration loss = 0.354 | prior loss = 1.278 | diffusion loss =0.112 | Total loss = 1.7440000000000002
duration loss = 0.354 | prior loss = 1.278 | diffusion loss =0.114 | Total loss = 1.7460000000000002
duration loss = 0.354 | prior loss = 1.278 | diffusion loss =0.109 | Total loss = 1.741
duration loss = 0.353 | prior loss = 1.276 | diffusion loss =0.111 | Total loss = 1.74
duration loss = 0.353 | prior loss = 1.276 | diffusion loss =0.113 | Total loss = 1.742
duration loss = 0.353 | prior loss = 1.276 | diffusion loss =0.112 | Total loss = 1.741
duration loss = 0.353 | prior loss = 1.276 | diffusion loss =0.111 | Total loss = 1.74
duration loss = 0.352 | prior loss = 1.276 | diffusion loss =0.111 | Total loss = 1.739
duration loss = 0.353 | prior loss = 1.276 | diffusion loss =0.114 | Total loss = 1.743
duration loss = 0.352 | prior loss = 1.276 | diffusion loss =0.112 | Total loss = 1.7400000000000002
duration loss = 0.352 | prior loss = 1.275 | diffusion loss =0.113 | Total loss = 1.7399999999999998
duration loss = 0.352 | prior loss = 1.275 | diffusion loss =0.113 | Total loss = 1.7399999999999998
duration loss = 0.351 | prior loss = 1.275 | diffusion loss =0.109 | Total loss = 1.7349999999999999
duration loss = 0.351 | prior loss = 1.275 | diffusion loss =0.11 | Total loss = 1.736
duration loss = 0.351 | prior loss = 1.275 | diffusion loss =0.114 | Total loss = 1.74
duration loss = 0.352 | prior loss = 1.275 | diffusion loss =0.111 | Total loss = 1.7379999999999998
duration loss = 0.351 | prior loss = 1.274 | diffusion loss =0.113 | Total loss = 1.738
duration loss = 0.351 | prior loss = 1.274 | diffusion loss =0.113 | Total loss = 1.738
duration loss = 0.35 | prior loss = 1.274 | diffusion loss =0.113 | Total loss = 1.737
duration loss = 0.35 | prior loss = 1.273 | diffusion loss =0.109 | Total loss = 1.7319999999999998
duration loss = 0.35 | prior loss = 1.272 | diffusion loss =0.114 | Total loss = 1.736
duration loss = 0.349 | prior loss = 1.272 | diffusion loss =0.112 | Total loss = 1.733
duration loss = 0.349 | prior loss = 1.272 | diffusion loss =0.112 | Total loss = 1.733
duration loss = 0.35 | prior loss = 1.273 | diffusion loss =0.11 | Total loss = 1.7329999999999999
duration loss = 0.349 | prior loss = 1.272 | diffusion loss =0.113 | Total loss = 1.734
duration loss = 0.349 | prior loss = 1.272 | diffusion loss =0.115 | Total loss = 1.736
duration loss = 0.349 | prior loss = 1.272 | diffusion loss =0.113 | Total loss = 1.734
duration loss = 0.348 | prior loss = 1.272 | diffusion loss =0.112 | Total loss = 1.7320000000000002
duration loss = 0.348 | prior loss = 1.272 | diffusion loss =0.112 | Total loss = 1.7320000000000002
duration loss = 0.348 | prior loss = 1.272 | diffusion loss =0.113 | Total loss = 1.733
duration loss = 0.347 | prior loss = 1.271 | diffusion loss =0.114 | Total loss = 1.732
duration loss = 0.348 | prior loss = 1.271 | diffusion loss =0.113 | Total loss = 1.7319999999999998
duration loss = 0.347 | prior loss = 1.27 | diffusion loss =0.109 | Total loss = 1.726
duration loss = 0.347 | prior loss = 1.271 | diffusion loss =0.109 | Total loss = 1.7269999999999999
duration loss = 0.347 | prior loss = 1.27 | diffusion loss =0.112 | Total loss = 1.729
duration loss = 0.347 | prior loss = 1.27 | diffusion loss =0.111 | Total loss = 1.728
duration loss = 0.347 | prior loss = 1.27 | diffusion loss =0.111 | Total loss = 1.728
duration loss = 0.346 | prior loss = 1.27 | diffusion loss =0.114 | Total loss = 1.7300000000000002
duration loss = 0.347 | prior loss = 1.269 | diffusion loss =0.111 | Total loss = 1.7269999999999999
duration loss = 0.346 | prior loss = 1.269 | diffusion loss =0.109 | Total loss = 1.7239999999999998
duration loss = 0.346 | prior loss = 1.27 | diffusion loss =0.111 | Total loss = 1.727
duration loss = 0.346 | prior loss = 1.269 | diffusion loss =0.112 | Total loss = 1.7269999999999999
duration loss = 0.346 | prior loss = 1.269 | diffusion loss =0.115 | Total loss = 1.7299999999999998
