Epoch 138: duration loss = 0.412 | prior loss = 1.347 | diffusion loss = 0.116| Total loss = 1.875
Epoch 139: duration loss = 0.408 | prior loss = 1.349 | diffusion loss = 0.098| Total loss = 1.854
Epoch 140: duration loss = 0.405 | prior loss = 1.350 | diffusion loss = 0.113| Total loss = 1.868
Epoch 141: duration loss = 0.407 | prior loss = 1.350 | diffusion loss = 0.119| Total loss = 1.877
Epoch 142: duration loss = 0.408 | prior loss = 1.347 | diffusion loss = 0.142| Total loss = 1.897
Epoch 143: duration loss = 0.404 | prior loss = 1.345 | diffusion loss = 0.096| Total loss = 1.845
Epoch 144: duration loss = 0.408 | prior loss = 1.347 | diffusion loss = 0.084| Total loss = 1.839
Epoch 145: duration loss = 0.405 | prior loss = 1.349 | diffusion loss = 0.115| Total loss = 1.869
Epoch 146: duration loss = 0.410 | prior loss = 1.345 | diffusion loss = 0.108| Total loss = 1.863
Epoch 147: duration loss = 0.409 | prior loss = 1.347 | diffusion loss = 0.146| Total loss = 1.902
Epoch 148: duration loss = 0.409 | prior loss = 1.350 | diffusion loss = 0.096| Total loss = 1.854
Epoch 149: duration loss = 0.406 | prior loss = 1.346 | diffusion loss = 0.103| Total loss = 1.855
Epoch 150: duration loss = 0.403 | prior loss = 1.348 | diffusion loss = 0.110| Total loss = 1.860
Epoch 151: duration loss = 0.408 | prior loss = 1.348 | diffusion loss = 0.107| Total loss = 1.863
Epoch 152: duration loss = 0.407 | prior loss = 1.348 | diffusion loss = 0.129| Total loss = 1.884
Epoch 153: duration loss = 0.408 | prior loss = 1.348 | diffusion loss = 0.081| Total loss = 1.837
Epoch 154: duration loss = 0.412 | prior loss = 1.349 | diffusion loss = 0.159| Total loss = 1.920
Epoch 155: duration loss = 0.410 | prior loss = 1.351 | diffusion loss = 0.089| Total loss = 1.850
Epoch 156: duration loss = 0.407 | prior loss = 1.351 | diffusion loss = 0.099| Total loss = 1.857
Epoch 157: duration loss = 0.415 | prior loss = 1.350 | diffusion loss = 0.101| Total loss = 1.867
Epoch 158: duration loss = 0.410 | prior loss = 1.352 | diffusion loss = 0.083| Total loss = 1.844
Epoch 159: duration loss = 0.410 | prior loss = 1.350 | diffusion loss = 0.149| Total loss = 1.909
Epoch 160: duration loss = 0.408 | prior loss = 1.350 | diffusion loss = 0.085| Total loss = 1.842
Epoch 161: duration loss = 0.411 | prior loss = 1.351 | diffusion loss = 0.107| Total loss = 1.869
Epoch 162: duration loss = 0.406 | prior loss = 1.353 | diffusion loss = 0.082| Total loss = 1.840
Epoch 163: duration loss = 0.407 | prior loss = 1.350 | diffusion loss = 0.077| Total loss = 1.835
Epoch 164: duration loss = 0.407 | prior loss = 1.349 | diffusion loss = 0.133| Total loss = 1.889
Epoch 165: duration loss = 0.412 | prior loss = 1.353 | diffusion loss = 0.121| Total loss = 1.886
Epoch 166: duration loss = 0.410 | prior loss = 1.350 | diffusion loss = 0.127| Total loss = 1.888
Epoch 167: duration loss = 0.412 | prior loss = 1.352 | diffusion loss = 0.110| Total loss = 1.874
Epoch 168: duration loss = 0.418 | prior loss = 1.351 | diffusion loss = 0.165| Total loss = 1.934
Epoch 169: duration loss = 0.410 | prior loss = 1.351 | diffusion loss = 0.103| Total loss = 1.864
Epoch 170: duration loss = 0.409 | prior loss = 1.350 | diffusion loss = 0.101| Total loss = 1.860
Epoch 171: duration loss = 0.409 | prior loss = 1.350 | diffusion loss = 0.115| Total loss = 1.874
Epoch 172: duration loss = 0.414 | prior loss = 1.351 | diffusion loss = 0.072| Total loss = 1.837
Epoch 173: duration loss = 0.414 | prior loss = 1.351 | diffusion loss = 0.091| Total loss = 1.856
Epoch 174: duration loss = 0.410 | prior loss = 1.353 | diffusion loss = 0.100| Total loss = 1.863
Epoch 175: duration loss = 0.408 | prior loss = 1.350 | diffusion loss = 0.104| Total loss = 1.861
Epoch 176: duration loss = 0.407 | prior loss = 1.352 | diffusion loss = 0.079| Total loss = 1.837
Epoch 177: duration loss = 0.411 | prior loss = 1.349 | diffusion loss = 0.107| Total loss = 1.868
Epoch 178: duration loss = 0.411 | prior loss = 1.348 | diffusion loss = 0.089| Total loss = 1.848
Epoch 179: duration loss = 0.411 | prior loss = 1.352 | diffusion loss = 0.124| Total loss = 1.886
Epoch 180: duration loss = 0.412 | prior loss = 1.352 | diffusion loss = 0.125| Total loss = 1.889
Epoch 181: duration loss = 0.411 | prior loss = 1.349 | diffusion loss = 0.128| Total loss = 1.889
Epoch 182: duration loss = 0.411 | prior loss = 1.350 | diffusion loss = 0.133| Total loss = 1.893
Epoch 183: duration loss = 0.416 | prior loss = 1.353 | diffusion loss = 0.097| Total loss = 1.867
Epoch 184: duration loss = 0.412 | prior loss = 1.351 | diffusion loss = 0.143| Total loss = 1.905
Epoch 185: duration loss = 0.415 | prior loss = 1.350 | diffusion loss = 0.120| Total loss = 1.885
Epoch 186: duration loss = 0.409 | prior loss = 1.352 | diffusion loss = 0.121| Total loss = 1.882
Epoch 187: duration loss = 0.413 | prior loss = 1.354 | diffusion loss = 0.125| Total loss = 1.892
Epoch 188: duration loss = 0.416 | prior loss = 1.354 | diffusion loss = 0.106| Total loss = 1.876
Epoch 189: duration loss = 0.412 | prior loss = 1.352 | diffusion loss = 0.111| Total loss = 1.875
Epoch 190: duration loss = 0.409 | prior loss = 1.348 | diffusion loss = 0.152| Total loss = 1.909
Epoch 191: duration loss = 0.407 | prior loss = 1.351 | diffusion loss = 0.098| Total loss = 1.857
Epoch 192: duration loss = 0.416 | prior loss = 1.351 | diffusion loss = 0.104| Total loss = 1.871
Epoch 193: duration loss = 0.413 | prior loss = 1.354 | diffusion loss = 0.112| Total loss = 1.879
Epoch 194: duration loss = 0.410 | prior loss = 1.351 | diffusion loss = 0.136| Total loss = 1.897
Epoch 195: duration loss = 0.415 | prior loss = 1.354 | diffusion loss = 0.087| Total loss = 1.856
Epoch 196: duration loss = 0.418 | prior loss = 1.353 | diffusion loss = 0.100| Total loss = 1.871
Epoch 197: duration loss = 0.415 | prior loss = 1.352 | diffusion loss = 0.160| Total loss = 1.927
Epoch 198: duration loss = 0.411 | prior loss = 1.350 | diffusion loss = 0.131| Total loss = 1.893
Epoch 199: duration loss = 0.408 | prior loss = 1.353 | diffusion loss = 0.169| Total loss = 1.930
Epoch 200: duration loss = 0.411 | prior loss = 1.354 | diffusion loss = 0.117| Total loss = 1.882
